"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","1","1","12","N/A","N/A","N/A","N/A","N/A","N/A","Treasury Laws Amendment (Consumer Data Right) Bill 2022","Treasury Laws Amendment (Consumer Data Right) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.text/body/a/p","N/A","N/A","Bill r6950"
"0","0","0","0","1","1","13","N/A","N/A","N/A","N/A","N/A","N/A","Second Reading","Treasury Laws Amendment (Consumer Data Right) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.2/subdebate.text/body/p[1]","N/A","N/A","N/A"
"0","0","0","0","1","1","14","N/A","N/A","N/A","N/A","N/A","N/A","Consideration resumed of the motion:","Treasury Laws Amendment (Consumer Data Right) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.2/subdebate.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","15","N/A","N/A","N/A","N/A","N/A","N/A","That this bill be now read a second time.","Treasury Laws Amendment (Consumer Data Right) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.2/subdebate.text/body/p[3]","N/A","N/A","N/A"
"0","0","0","1","1","0","16","Mr TAYLOR","231027","N/A","N/A","N/A","N/A","I rise to speak in support of the Treasury Laws Amendment (Consumer Data Right) Bill 2022. The legislation implements the next step of reforms spearheaded by the former coalition government to roll out the consumer data right—protecting consumers, reducing red tape, improving cyber-resilience and supporting digital innovation in the delivery of core business functions.  Whilst the coalition will be supporting this bill, we do have some concerns about the pace of reform, the imposts on business and the consultation with business. We are concerned that the government isn't listening to Australian businesses about the challenges that may stem from this reform, and we're concerned that the government may risk this substantive and important reform by failing to make sure that it's paced the right way and that it avoids unreasonable imposts on business that put at risk the reform being done well and that risk the social licence of the reform, because that's hugely important in the consumer data right. We strongly encourage the government to work with small business and consumers. Bring them along in the process. Don't leave them behind, because this has a lot of good things it can deliver for Australia—important reforms for Australia. What we don't need is a botched implementation. The consumer data right is a very significant economic and consumer-centric reform. Crucially, it empowers consumers to share data that businesses hold about them with accredited and trusted recipients to help them to derive direct benefits. This is all about making sure that we acknowledge that the best regulator of any industry is the customer. The customer knows what they want. The customer is the one that understands better than anybody else the product or the service that they're buying. The customer understands their own circumstances in a way government and a government regulator here in Canberra can never know. So making the customer more powerful in the relationship with the service provider or goods provider is crucial to strengthening the power of that consumer to get what they want and making sure those competitive forces in the economy that we all want to see succeeding do succeed and deliver to customers what they want. This is where competition policy is moving. This is where productivity in this country needs to move. It's why, right from the start, I was a very strong supporter of this. In fact, I brought in some of the early reforms in this area and worked on them as digital minister many years ago. It's good to see a bipartisan approach to getting on with this job. The CDR was launched in the banking sector in July 2020 to give consumers and small businesses more power over their data so as to be able to compare and switch banking products, meaning a consumer could switch easily. One of the great barriers to a customer being empowered and getting a better deal is the challenge in moving their data. Not only does the CDR enable consumers to benefit from their data, it spurs the creation of new tech companies and innovative products and services. Basically, it reduces the barriers to new entrants, and we know from history that that delivers a better outcome. It also ensures that consumers are better informed. With a consumer data right, we know that products and services can be tailored to a consumer, and they can know in advance exactly what they're getting. Importantly, the consumer data right is an opt-in service. That is absolutely crucial. It was part of the design right from the start. It's not compulsory. It's an opt-in service that gives you the choice of whether to share your data, with full visibility of who it's being shared with and the purpose of the sharing. It can make it easier for consumers to compare products and services, as I said, and that comparison of products and services is very important for competition and accountability. This ensures that the consumer is the regulator of industries. We don't need all sorts of other red tape, and we don't need bureaucrats in Canberra trying to do that regulation when customers can do it themselves. It will give customers access to improved and better value services and will assist financial and cash flow management. The consumer data right was always designed to grow over time. In government, we pursued expansion into the banking sector through open banking, the energy sector, open finance and into telecommunications. The bill furthers the implementation and rollout of the CDR by introducing action-initiation reforms, which would enable CDR consumers to direct accredited persons to instruct on actions on their behalf, using the CDR framework. These actions could include making a payment, opening and closing accounts, switching providers and updating personal details, such as an address, across providers. The tell-me-once feature, which we've all wanted when we move home—we all want to be able to ensure that we tell someone once that we've moved and have it flow through to all service providers, and we can avoid a hell of a lot of red tape in our lives. That's where we need to go. It will enable consumers to go to a single service provider and say, 'Please update all of my accounts.' The measures expand the CDR from a data-sharing scheme to a scheme that allows consumers to act on information they receive. They put in place provisions that provide consumers with the rights to initiate actions, the minister with the power to create rules regarding and to establish various definitions, obligations and protections for proposed third-party-action service providers. The bill implements recommendation 4 of the Inquiry into Future Directions for the Consumer Data Right in 2020 to strengthen and deepen its functionality. The recommendation was accepted by the previous coalition government in its official government response in December 2021. It cuts right across our economy. Rushing the implementation of the CDR with unrealistic timelines that could risk implementation failures and create exposures for businesses and their customers must be avoided. It's particularly important that the impact that the CDR may have on small businesses is right at the front of the government's and the bureaucracy's thinking on how this is rolled out. Small businesses don't have the resources of big employers. Done wrongly, this could wipe out small businesses and reduce competition, for an initiative that is actually designed to improve competition and contestability. Expanding the CDR needs to be done correctly, but it needs to be the beginning, not the end, of reducing red tape, supporting deregulation and putting the customer in charge of getting the best possible outcome for their needs. I commend this bill to the House. Debate adjourned. ","Treasury Laws Amendment (Consumer Data Right) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.2/speech/talk.text/body/p[1]","Mr TAYLOR (Hume) ","(12:02):","N/A"
"0","0","0","0","1","1","17","N/A","N/A","N/A","N/A","N/A","N/A","Public Interest Disclosure Amendment (Review) Bill 2022","Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.text/body/a/p","N/A","N/A","Bill r6958"
"0","0","0","0","1","1","18","N/A","N/A","N/A","N/A","N/A","N/A","Second Reading","Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2/subdebate.text/body/p[1]","N/A","N/A","N/A"
"0","0","0","0","1","1","19","N/A","N/A","N/A","N/A","N/A","N/A","Consideration resumed of the motion:","Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2/subdebate.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","20","N/A","N/A","N/A","N/A","N/A","N/A","That this bill be now read a second time.","Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2/subdebate.text/body/p[3]","N/A","N/A","N/A"
"0","0","0","1","1","0","21","Mr LEESER","109556","N/A","N/A","N/A","N/A","The coalition supports the Public Interest Disclosure Amendment (Review) Bill 2022. This bill implements 21 of the 33 recommendations of the 2016 Moss review into the Public Interest Disclosure Act 2013. It also implements recommendations 6.1 and 6.3 of the 2017 inquiry by the Parliamentary Joint Committee on Corporations and Financial Services into whistleblower protections in the corporate, public and not-for-profit sectors, and recommendations 10 and 11 of the 2020 inquiry by the Parliamentary Joint Committee on Intelligence and Security into the impact of the exercise of law enforcement and intelligence powers on the freedom of the press. I sat on the PJCIS at that time and support the recommendations of the press freedom review being implemented here, as I do the other recommendations implemented by the bill. All of these recommendations have been agreed to by the coalition, and we welcome these changes.  This bill deals with the Commonwealth government's whistleblower protection and disclosure regime. It is an accountability mechanism. It's important that accountability measures achieve what they're intended to achieve and that they avoid the unintended consequences that can result in a bill's doing more harm than good. This has always been the contention of those on this side of the House when considering this legislation. That's why we're very much in support of making improvements to the Public Interest Disclosure Act, in line with the recommendations of the Moss review and the other reviews, which are enacted by this bill. The Public Interest Disclosure Act was a creation of the Rudd-Gillard government at the very end of its term. The member for Isaacs was Attorney-General at that time, as he is now, and he brought forward the bill just as the parliament was about to expire. There was perhaps inadequate consideration given to the bill at the time of its enactment. At the time, the coalition welcomed and supported the transparency measures. Through the committee process, the coalition helped improve the bill substantially. Seventy-three amendments to tighten and focus the act were supported by the coalition. Also key to those amendments was a requirement that the act be reviewed to gauge its impact. I'm very pleased that we pushed for that statutory requirement for a review, and that is how the Moss review came about. Through the course of the Moss review it became clear that further refining was needed. The Moss review made clear that, despite the good intentions of the Public Interest Disclosure Act, there is significant room for improvement in how the legislation operates to give appropriate protection to whistleblowers in the public sector and, in doing so, to build the public's confidence in the public sector. At present, the purpose of the act is not being sufficiently achieved, as the scope is wrong and the procedures too complex, leaving complainants dissatisfied and agencies struggling to implement the regime. Let me quote from the Moss review: The experience of whistleblowers under the PID Act is not a happy one. Few individuals who had made PIDs— public interest disclosures— reported that they felt supported. Some felt that their disclosure had not been adequately investigated or that their agency had not adequately addressed the conduct reported. Many disclosers reported experiencing reprisal as a result of bringing forward their concerns. The review also found: … the bulk of disclosures related to personal employment-related grievances and were better addressed through other processes. Agencies noted also that the PID Act's procedures and mandatory obligations upon individuals are ill-adapted to addressing such disclosures. The review concluded: … the current PID Act provisions impair the effective operation of the framework. In this respect, the Review notes that there are two principal challenges: The PID Act's interactions with other procedures for investigating wrongdoing are overly complex … The kinds of disclosable conduct are too broad, rather than being targeted at the most serious integrity risks, such as fraud, serious misconduct or corrupt conduct. The Review found that while the PID Act is helping to bring to light allegations of serious wrongdoing, these disclosures are in the minority. Most PIDs concern matters that are better understood as personal employment-related grievances, for which the PID Act framework is not well suited. In short, the act is being used for the wrong purposes, and it is doing so badly. It needs to be tightened and focused in order to achieve its purpose. This bill is an attempt to correct some of the act's shortcomings. In particular, it will remove 'personal work related conduct' from the PID scheme unless it relates to systemic wrongdoing or reprisal action. It will provide increased flexibility around the handling of disclosures and provide clearer time frames. It will extend protection from reprisals to witnesses and those who may have made, propose to or could make a disclosure, and it will improve information sharing between agencies. It's worth noting that these are the types of limitations the coalition was concerned to try and address when the act was first considered in 2013. It is worth revisiting the coalition's position on some key issues at that time. Section 31 of the act was introduced to give greater clarity to what would be considered disclosable conduct. The coalition was rightly concerned that the definition of ' disclosable conduct' was far too broad and that the act would capture far more than it ought to capture. Section 31 made it specifically clear that policy disagreements did not amount to wrongdoing and could not be captured. The then shadow Attorney-General, George Brandis, said: … the purpose of this legislation is not to provide a platform for people to agitate political grievances or to provide a forum for people to use to tie up political or administrative decision making merely because they may disagree with the decision that has been made. The purpose of whistleblower protection legislation is and only is to protect whistleblowers who disclose wrongdoing. What we've seen in the Moss review is that the definition still remains too broad. While policy disagreements were rightly excluded by the coalition, employment grievances have clogged up the work of agencies and were never the purpose of the act. Agencies must not ignore issues relating to workplace grievances or conflict. Those matters must be addressed. But the frameworks established by the PID Act are not designed for dealing with those matters and should instead be focused on matters relating to wrongdoing, such as serious misconduct or fraud. Workplace grievances should be resolved through other processes. Finally, the bill makes changes to the National Anti-Corruption Commission to align the definition of 'reprisals' and 'detriment' with the definitions that will be in the Public Interest Disclosure Act. These are material mechanical improvements to the operation of an important transparency mechanism and the coalition supports them. In conclusion, we believe that whistleblowers and witnesses must be able to make disclosures without fear of recrimination, but equally schemes should not be open to abuse by those who would seek to cause mischief or achieve political or industrial outcomes through inappropriate disclosure. Getting the balance right on this legislation is essential. We welcome these adjustments that correct some of the past flaws in the hope that those who make disclosures are genuinely protected and that serious matters of misconduct are investigated by agencies. Debate adjourned. ","Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2/speech/talk.text/body/p[1]","Mr LEESER (Berowra) ","(12:10):","N/A"
"0","0","0","0","1","1","22","N/A","N/A","N/A","N/A","N/A","N/A","COMMITTEES","N/A","COMMITTEES","/hansard/chamber.xscript/debate[3]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","23","N/A","N/A","N/A","N/A","N/A","N/A","Public Accounts and Audit Joint Committee Public Works Joint Committee","Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.text/body/p","N/A","N/A","Public Accounts and Audit Joint Committee 73"
"0","0","0","0","1","1","24","N/A","N/A","N/A","N/A","N/A","N/A","Trade and Investment Growth Joint Committee","Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.text/body/a/p","N/A","N/A","Committee 24105"
"0","0","0","0","1","1","25","N/A","N/A","N/A","N/A","N/A","N/A","Membership","Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","26","The SPEAKER","53517","N/A","N/A","N/A","N/A","I have received advice from the Chief Opposition Whip that he has nominated members to be members of certain committees.  ","Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech[1]/talk.text/body/p","The SPEAKER ","(12:17):","N/A"
"0","0","0","1","1","0","27","Dr LEIGH","BU8","N/A","N/A","N/A","N/A","by leave—I move:  That:  Mr Pearce be appointed a member of the Parliamentary Standing Committee on Public Works;  Mr Gee be discharged from the Joint Standing Committee on Trade and Investment Growth and that, in his place, Dr Gillespie be appointed a member of the committee; and  Dr Gillespie be discharged from the Joint Committee of Public Accounts and Audit. Question agreed to. ","Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech[2]/talk.text/body/p[1]","Dr LEIGH (Fenner—Assistant Minister for Competition, Charities and Treasury) ","(12:17):","N/A"
"0","0","0","0","1","1","28","N/A","N/A","N/A","N/A","N/A","N/A","BILLS","N/A","BILLS","/hansard/chamber.xscript/debate[4]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","29","N/A","N/A","N/A","N/A","N/A","N/A","Ministers of State Amendment Bill 2022","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.text/body/a/p","N/A","N/A","Bill r6967"
"0","0","0","0","1","1","30","N/A","N/A","N/A","N/A","N/A","N/A","Second Reading","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/subdebate.text/body/p[1]","N/A","N/A","N/A"
"0","0","0","0","1","1","31","N/A","N/A","N/A","N/A","N/A","N/A","Consideration resumed of the motion:","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/subdebate.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","32","N/A","N/A","N/A","N/A","N/A","N/A","That this bill be now read a second time.","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/subdebate.text/body/p[3]","N/A","N/A","N/A"
"0","0","0","1","1","0","33","Ms STANLEY","265990","N/A","N/A","N/A","N/A","The Australian Constitution took effect on 1 January 1901 and established this parliament, the federal government, the executive government and the judiciary. Our form of government requires that the executive government, the Prime Minister and ministers, come from within the parliament and are responsible to this parliament. This is known as the Westminster style of government and follows the UK's model of convention.  On 14 March 2020, the former Prime Minister, Scott Morrison, chose to have himself secretly appointed to administer the Department of Health and, by the end of May 2021, he had been appointed by the Governor-General to administer four additional portfolios. The member for Cook added Finance; Industry, Science, Energy and Resources; Treasury; and Home Affairs to his resume, while the majority of the ministers responsible remained unaware. It was an unprecedented act. Even in the face of the darkest days of world wars, no other prime minister thought it was necessary to consolidate power in a single individual, especially himself. When I first saw the reports in the media about the former Prime Minister's actions, I was disappointed and I was concerned about how the public would view these actions. These actions taken by the former Prime Minister undermine the public's trust in all of us, in all levels of government. Openness, accountability and trust are vital to our society and our democracy. The decision of the former Prime Minister has already been challenged in court, leading to issues with decision-making in the well-publicised PEP-11 case. The Ministers of State Amendment Bill that we're debating in the House today forms part of the Albanese government's response to the Bell inquiry and the actions of the former Prime Minister, the member for Cook. When it became known that the former Prime Minister had been sworn into multiple other ministries without telling the Australian public, the current government sought advice from the Solicitor-General, Dr Stephen Donaghue KC. His advice was clear: the 'principles of responsible government' are 'fundamentally undermined' by the actions of the former government. After this advice, the Prime Minister and the Attorney-General appointed former High Court Judge the Hon. Virginia Bell AC to conduct an inquiry, which led to the amendments to the Ministers of State Act that we are debating today. The inquiry led by Ms Bell was at arm's length from the government to ensure that it was nonpartisan, independent and fair. This bill amends the Ministers of State Act 1952 to provide further transparency and accountability at a Commonwealth level. It ensures that the Australian people are provided with information about the composition of the federal Executive Council, who has been appointed and what responsibilities they have. This bill forms one of the government's responses to Ms Bell's recommendations. Specifically, the bill will require the Official Secretary to the Governor-General to publish a notifiable instrument—registered on the Federal Register of Legislation as soon as practicable—that the Governor-General has chosen, summoned and sworn in an executive councillor to the federal Executive Council, appointed an officer to administer a department of state or directed a minister of state to hold an office. This bill will also require notification of the revocation of any of these positions. The Australian public expect and deserve to know where responsibility is placed. This is the basis of our system. There must always be a clear line of accountability that leads to a responsible minister. That simple, fundamental premise, which was an established norm, is what was undermined by the previous government and the previous Prime Minister. Unfortunately, there's been a clear gap in how our systems operate, but the previous Prime Minister, when he found out about it, didn't consider action was necessary to close it. When it was realised that there was a flaw in our system, it was not fixed immediately; rather, it was exploited. There is no justification for undermining our political system, and it's a shame to me that this bill is even necessary. The former Prime Minister's explanation and justification was based on the COVID crisis. While that's not enough of a justification to erode trust in democracy and undermine the established norms that have formed the foundation of this parliament since Federation, I can understand how, very early in the pandemic, when the government was trying to plan for each and every eventuality, it may have made sense. What does not bear scrutiny is that the former Prime Minister kept swearing himself into portfolios until early 2021, long after the first wave of lockdowns and long before the delta outbreak. In fact, the only exercise of the former Prime Minister's new-found power was political in nature: overruling the other ministers for industry, science, energy and resources on the PEP-11 decision. And now we have the courts telling us how many problems that has caused. The former Prime Minister had all the powers that came with administering these departments, and none of the accountability. Criticism of these actions is not just political, and it should not be. Three previous Liberal prime ministers have also condemned these actions. This bill will restore the checks and balances that our system relies on. It will ensure that one person cannot acquire power without any accountability or responsibility. The Australian people should not find out about the undermining of our political system in a book published two years later. The Albanese government is focused on restoring trust and integrity to politics. This bill, like the National Anti-Corruption Commission legislation, seeks to help the Australian people regain lost trust in all of its governments—the trust that has been significantly eroded in recent years. Democracy across the world faces challenges with the rise of authoritarianism. So it is vital—now, more than ever—that we safeguard our political system. The people who elect us to this parliament must feel that they can trust the fundamentals of our democracy and the checks and balances that provide integrity and stable government. That trust is a unique requirement for democracy to function. The power exercised by the parliament derives from the trust that the people of Australia place in us, their elected representatives. We are accountable to them. The Albanese government knows this, and that's why we have moved quickly, closing this loophole as well as providing greater transparency and integrity to the entire political system through the National Anti-Corruption Commission. This is our responsibility to the Australian people, and I commend the bill to the House. ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[1]/talk.text/body/p[1]","Ms STANLEY (Werriwa—Government Whip) ","(12:18):","N/A"
"0","0","0","1","1","0","34","The SPEAKER","53517","N/A","N/A","N/A","N/A","The question is that the bill be now read a second time, and I give the call to the honourable member for Bruce.  ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[1]/talk.text/body/p[12]","N/A","N/A","N/A"
"0","0","0","1","1","0","35","Mr HILL","86256","N/A","N/A","N/A","N/A","That's two government speakers in a row, Mr Speaker. It's a bit of a sign that the opposition doesn't really want to talk about this.  I remember, as a lot of Australians do, the day when Tony Abbott knighted Sir Prince Philip! Some commentators and pundits were distraught, as they concluded that it was the death of irony—that comedians would henceforth be out of business, as nothing could ever be weirder, let's be honest, and also downright hysterical, in a slapstick, WTF kind of way, Deputy Speaker. The former, disgraced, speaker Bronwyn Bishop actually threw member after member out of the chamber—including the member for Franklin, at that time, because she literally could not stop laughing during question time. But then came the previous Prime Minister, who secretly appointed himself as Treasurer, finance minister, health minister, industry minister, resources minister, home affairs minister—and who knows what else. You couldn't make this up. No-one in the years before now could have imagined it necessary to pass a law so that, when ministers are appointed as ministers, Australians are told about it—a new law to say, in our democracy, 'You can't have secret ministers'! Now, this bill, the Ministers of State Amendment Bill 2022, is only necessary because of the bizarre actions of the previous Prime Minister, the member for Cook— ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[2]/talk.text/body/p[1]","Mr HILL (Bruce) ","(12:26):","N/A"
"0","0","0","1","1","0","36","Mr","HVP","N/A","N/A","N/A","N/A","Perrett: A loose unit!  ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[2]/talk.text/body/p[4]","N/A","N/A","N/A"
"0","0","0","1","1","0","37","Mr HILL","86256","N/A","N/A","N/A","N/A","Well, you said 'a loose unit'; I wouldn't use those words, Member for Moreton. Aided and abetted, he was, though, by his former cabinet colleagues in the Liberal Party, who knew exactly what he was like—  ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[2]/talk.text/body/p[5]","N/A","N/A","N/A"
"0","0","0","1","1","0","38","The DEPUTY SPE","230531","N/A","N/A","N/A","N/A","AKER ( Mr Buchholz ): Member for Bruce, I'll just take a point of order.  ","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[2]/talk.text/body/p[6]","N/A","N/A","N/A"
"0","0","0","1","1","0","39","Mr Joyce","e5d","N/A","N/A","N/A","N/A","Mr Deputy Speaker, just on reflection on the acronym that the member used: I think it was not appropriate for this House and it should be withdrawn.  The DEPUTY SPEAKER: You have made your point of order. I thank the member. Now, I was just getting settled into the chair, so I can't say I actually heard the acronym, and I'm not at—  The member knows exactly which one it was. I won't—  The DEPUTY SPEAKER: Well, to assist the Speaker and the House, would the member withdraw, for just—","Ministers of State Amendment Bill 2022","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[2]/talk.text/body/p[7]","N/A","N/A","N/A"
