index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time,Speaker_1,Time_1
11,0,0,0,1,0,0,0,1,"POYNTON, Alexander","KYD","South Australia","N/A","N/A",9584,"- I move -That the following exemption be added -  Steel fencing standards of all lengths, and pillars, patent steel droppers of all lengths, and patent wedgers for droppers and standards.This motion is not quite in the terms of the notice upon the business-paper, because I have omitted the word  Hochrin, so that the exemption may apply to all steel fencing standards and accessories.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[1]/talk.start/para","N/A","N/A","N/A","N/A"
12,0,0,1,0,0,0,0,1,"KINGSTON, Charles","KEW","N/A","N/A","N/A",9584,"- But these things are made here.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[1]/interjection/talk.start/para","N/A","N/A","N/A","N/A"
13,0,0,0,1,0,0,0,1,"POYNTON, Alexander","KYD","N/A","N/A","N/A",9584,"- Some of the common iron standards are made here, I believe, but not the steel standards. These articles were upon the free list in South Australia, and they are largely used by people who, because of the country in which they live, have to put up with more hardship than many other members of the community. Nearly the whole of the Northern railway system of South Australia is enclosed with this kind of fencing, and it is used in all the subdivisional fences in the northern and north-western parts of that State.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[1]/continue/talk.start/para","N/A","N/A","N/A","N/A"
14,0,0,0,1,0,0,0,1,"THOMSON, Dugald","KW6","North Sydney","N/A","N/A",9584,"- I hope that the Minister will accept this amendment. I would suggest to the mover that the omission of the word  patent  might be desirable. Steel droppers and standards are used for fencing in the arid portions of the continent where there is no timber.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[2]/talk.start/para","N/A","N/A","N/A","N/A"
15,0,0,1,0,0,0,0,1,"TURNER, George","KWT","N/A","N/A","N/A",9584,"- They are used largely in other places as well.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[2]/interjection/talk.start/para","N/A","N/A","N/A","N/A"
16,0,0,0,1,0,0,0,1,"THOMSON, Dugald","KW6","N/A","N/A","N/A",9584,"- Not to the same extent. They are used most largely, and are of the greatest importance, out on the arid plains, where the cost of fencing is already quite sufficient, and where the pastoral industry has to contend with a great many difficulties. Items like these, which can be of very little importance to the revenue, and the duty on which only adds to the already great cost of properly working properties in the more difficult portions of the Commonwealth, should be placed on the free list. The droppers are used for stiffen i ng fences. To some extent they do away with the use of timber, reducing the quantity required by three-fourths, at any rate. Where there is no timber they are of great advantage. Although they have to be conveyed considerable distances, yet they are an enormous saving to those who have to erect fences. Under these circumstances I would press the Minister to allow the items to be exempt from duty.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[2]/continue/talk.start/para","N/A","N/A","N/A","N/A"
17,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","South Australia","Protectionist","N/A",9585,"- I understand that these droppers are made in Australia.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/talk.start/para","N/A","N/A","N/A","N/A"
18,0,0,1,0,0,0,0,1,"GROOM, Arthur","KFI","N/A","FT","N/A",9585,"- Not the same sort.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/interjection[1]/talk.start/para","N/A","N/A","N/A","N/A"
19,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","N/A","N/A",9585,"- I am informed that just as good droppers as can be got anywhere are made in Melbourne.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/continue[1]/talk.start/para","N/A","N/A","N/A","N/A"
20,0,0,1,0,0,0,0,1,"POYNTON, Alexander","KYD","N/A","N/A","N/A",9585,"- Are not the pastoralists the best judges?","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/interjection[2]/talk.start/para","N/A","N/A","N/A","N/A"
21,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","N/A","N/A",9585,"- If the pastoralist is the best judge and he prefers to patronize the foreign industry he should not object to make a reasonable contribution towards the revenue. We must get revenue from somewhere. For the reasons that the articles are made here, and that it is not unfair to expect a contribution from imported articles, I ask honorable members not to agree to the amendment.Mr. THOMSON(North Sydney). - I think the committee will agree that the answer of the Minister, in view of what was done with wire netting, is not satisfactory. Every remark he made applies to wire netting. The only difference is that the wire netting industry is a much bigger and more important one. The number of droppers made in the Commonwealth is very small indeed, and the factories cannot employ more than a few hands, if there are any devoted entirely to their manufacture. Although wire netting, much for the very reasons given - to ease the cost of fences - was placed by the Ministry on the exemption list, yet on these droppers, which are used in country still more difficult than that in which wire netting is often used - that is, in country without timber - a duty is demanded simply because a few of them may he made in Melbourne. I think that the committee would stultify itself if it now made droppers and standards dutiable.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/continue[2]/talk.start/para","N/A","N/A","N/A","N/A"
22,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","N/A","N/A",9585,"- Although we proposed to have a duty on barbed wire, and to let wire netting come in free, honorable members will recollect that we were not prepared to put the two in the same class. The committee in its wisdom decided that the one should be dutiable and the other not, and I think for this reason - that we held that barbed wire was more used by the pastoralists who could well afford to pay, whereas wire netting was absolutely necessary to the farmer to prevent the destruction of his crops. I think, applying the same reasoning now, the pastoralists who use these droppers can afford to pay a reasonable duty on them. I venture to think, in connexion with the importation of goods of this sort which are locally produced, the strength of the reasoning is that we have not dealt with barbed wire and wire netting on the same basis. We have drawn a distinction such as now warrants us in asking the committee to treat droppers on the same basis as barbed wire, and to vote for the imposition of a reasonable duty.Mr. POYNTON(South Australia).We understand now from the Minister that this article is looked upon as a sort of luxury, and that because it is a luxury the pastoralists are called upon to pay this extra amount of money. For many years in South Australia, while the Minister was a member of the State Government, the article was not dutiable and it was not made dutiable after he left office. All the efforts I made in connexion with barbed wire apply equally to droppers and standards, because, in hundreds of square miles of country in the northern districts, a fence could not be erected without using an iron or steel standard. I submit that the pastoralists are paying a very fair contribution to the revenue, considering neither the farmers nor the pastoralists in the interior can claim to be deriving any protection from the Tariff. In South Australia the Parliament, recognising that these standards were so important to the pastoralists, never attempted to impose a duty upon them. I ask honorable members to support my amendment.","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[3]/continue[3]/talk.start/para","N/A","N/A","N/A","N/A"
23,0,0,0,1,0,0,0,1,"GROOM, Arthur","KFI","Flinders","FT","N/A",9585,"- I have had considerable experience of this class of fencing. From my knowledge of colonial droppers I can say that they are of very little use indeed. They are made of some kind of soft material, and any crossbred sheep, by putting its head underneath, will bend them like a piece of whalebone. They are utterly useless for the purpose for which they were designed, and the pastoralists prefer to use imported ones, which are made of steel. I would remind the Minister that the pastoralists of Australia need help as much as any class. They have had as rough a time during the last few years as have any farmers, dairymen, or any one else, and they require to be helped as much as possible.Question - That the following exemptions be added -  Steel fencing standards of all lengths, and pillars patent steel droppers of all lengths; and patent wedgers for droppers and standards - put. The committee divided -","In Committee of Ways and Means -","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech[4]/talk.start/para","N/A","N/A","N/A","N/A"
24,0,0,0,1,0,0,0,1,"TURNER, George","KWT","Balaclava","Protectionist","N/A",9586,"- The next proposal is one of which notice has been given by the honor able member for Melbourne, to add to the list of exemptions a number of boot machine tools. A number of these articles, are already included among the exemptions, viz. - Inseam Trimming machines, Welt Beating machines, Turn Moulding machines, Stitch Separating machines, Gem Insole machines, Sole Rounding machines, Channel Opening machines, Counter Moulding machines, Rand Splitting machines, Rand Turning machines, Rand Compressing machines, Pattern Grading machines, Pattern Cutting machines, Vamp Marking machines, Vamp Folding machines, Vamp Beading machines, Power Hammer machines, Hooking machines, Standard Screwing machines; Pegging machines, Staple Fastening machines, Upper Cleaning machines,. Treeing machines, Tying (Shoe) machines, Strap Printing and Covering machines. The other articles mentioned in the list of the honorable member we think ought to be dutiable because they are made in Australia - that is the distinction we have drawn from the beginning.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[1]/talk.start/para","N/A","N/A","N/A","N/A"
25,0,0,0,1,0,0,0,1,"MCEACHARN, Malcolm","KQU","Melbourne","N/A","N/A",9586,"- Of course I must accept the statement of the Treasurer that all the machine tools mentioned in my amendment, excepting those enumerated by him, are made within the Commonwealth, but I am informed that none of them are made here, and further that they have hitherto been admitted into all the States free of duty. I do not think, for instance, that vamp skiving machines, which are very intricate, are manufactured within the Commonwealth. If we are to admit free of duty machines, and machine tools used in various other trades on the ground that they cannot be made here, we ought to make a similar concession in regard to tools used in the bootmaking trade. I a.m pleading for an industry which has many difficulties to contend with, and which is certainly not in a very flourishing condition.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[2]/talk.start/para","N/A","N/A","N/A","N/A"
26,0,0,1,0,0,0,0,1,"TURNER, George","KWT","N/A","N/A","N/A",9586,"- The information we have is that all the tools which I have not enumerated are made here.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[2]/interjection[1]/talk.start/para","N/A","N/A","N/A","N/A"
27,0,0,0,1,0,0,0,1,"MCEACHARN, Malcolm","KQU","N/A","N/A","N/A",9586,"- I am sure that bobbin winding machines are not made here. If the Treasurer will state that, in the event of its being found that any of the machines enumerated in my amendment are not made here, they will be included in the free list, I shall be content.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[2]/continue/talk.start/para","N/A","N/A","N/A","N/A"
28,0,0,1,0,0,0,0,1,"TURNER, George","KWT","N/A","N/A","N/A",9587,"- Of course we shall have power to deal with them under the provision that has been passed. I agree with the honorable member that if they are not made here, they should be admitted free of duty, but we are informed that they are locally manufactured.Amendment (by Sir Malcolm McEacharn) proposed -That the following exemptions be added : - Channellers, Combined Channelling and Bounding Machine, Welt Splitting Machine, Welt Grooving Machine, Welt Bevelling Machine, Shank Skiving Machine, Bobbin Winding Machine, Banging Machines, Sole Skiving Machines, Upper Leather Splitting Machines, Sole Blocking Machines, Channelling and feather Edging Machines, Sole Moulding Machines, Heel Compressing Machines, Heel Building Machines, vamp Skiving Machines, Upper Leather Skiving Machines (such as the Amazeen), Gold Embossing Machines, Pinking Machines, Seam Boiler or Rubbing Machine, Punching and Eyeletting Machine, Crimping Machine, Tubular Riveting Machine, Lusting Machine, Pulling-over Machine, Sole Tacking Machine, Sole Laying Machine, Sole Levelling Machine, Loose Nailing (Riveting Machine, Pneumatic Buffing Machine, Heel Burnishing Machine, Top Ironing Machine.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[2]/interjection[2]/talk.start/para","N/A","N/A","N/A","N/A"
29,0,0,0,1,0,0,0,1,"MCMILLAN, William","L2G","Wentworth","N/A","N/A",9587,"- Honorable members must be alarmed at the manner in which we are dealing with these exemptions. I am very anxious that we should proceed on some distinct principle, but I do not know how the Tariff is to be administered if we impose duties upon a number of articles which no ordinary man can distinguish from those included among the exemptions. For instance, welt splitting machines are dutiable, whereas welt beating- machines are exempted. Then turn moulding machines are free, whereas shank skiving machines are exempted. Unless there is evidence before us that the articles which it is now proposed to exempt are really made in Australia, and that their manufacture constitutes a veritable industry, we should admit them free of duty. It is no use speaking of these machines being made here if the work of manufacturing them gives employment to only five or six people. We have no evidence before us to support the statement of the Treasurer, and it seems contemptible to make distinctions such as he proposes.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[3]/talk.start/para","N/A","N/A","N/A","N/A"
30,0,0,1,0,0,0,0,1,"TURNER, George","KWT","N/A","N/A","N/A",9587,"- The plain distinction is that some people are engaged in making these tools for the bootmaking industry, which is protected, and we ask that the toolmakers as well as the bootmakers should be protected.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[3]/interjection/talk.start/para","N/A","N/A","N/A","N/A"
31,0,0,0,1,0,0,0,1,"MCMILLAN, William","L2G","N/A","N/A","N/A",9587,"- If we reject the proposal of the honorable member for Melbourne, nine-tenths of the committee will not understand what has been done, and I think the honorable member will be perfectly justified in pressing his amendment.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[3]/continue/talk.start/para","N/A","N/A","N/A","N/A"
32,0,0,0,1,0,0,0,1,"PAGE, James","KXO","Maranoa","N/A","N/A",9587,"- I shall give my vote with the Government on this occasion. The Opposition are not going to make a tool of me in connexion with the addition of all these articles to the list of exemptions: When we asked the honorable member for Melbourne to vote in favour of exempting the tools of trade of those engaged in the pastoral industry he did not help us, and now I will not help him.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[4]/talk.start/para","N/A","N/A","N/A","N/A"
33,0,0,1,0,0,0,0,1,"MCEACHARN, Malcolm","KQU","N/A","N/A","N/A",9587,"- If the honorable member thinks I was wrong that is no reason why he should commit another wrong.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[4]/interjection[1]/talk.start/para","N/A","N/A","N/A","N/A"
34,0,0,0,1,0,0,0,1,"PAGE, James","KXO","N/A","N/A","N/A",9587,"- I intend to commit a wrong,, too. I do not believe in supporting honorable members who have given little or no support to the proposals coming from the Opposition side in favour of exempting the tools of trade used in other industries. I shall vote this, time as a revenue tariffist, because if all these exemptions are agreed to, and the Tariff should not yield sufficient revenue, the blame will be cast on the members of the Opposition. The Minister for Trade and Customs took the honorable member for Kooyong to task for making proposals in which he was personally interested,, but he has not attempted to attach reproach to other honorable members who have acted similarly.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[4]/continue[1]/talk.start/para","N/A","N/A","N/A","N/A"
35,0,0,1,0,0,0,0,1,"MCEACHARN, Malcolm","KQU","N/A","N/A","N/A",9587,"- I am not. interested in this proposal.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[4]/interjection[2]/talk.start/para","N/A","N/A","N/A","N/A"
36,0,0,0,1,0,0,0,1,"PAGE, James","KXO","N/A","N/A","N/A",9587,"- How am I to know ; the honorable member is interested in nearly everything in Australia. The object of the Treasurer is to obtain revenue, and I shall support him.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[4]/continue[2]/talk.start/para","N/A","N/A","N/A","N/A"
37,0,0,0,1,0,0,0,1,"KIRWAN, John","KYR","Kalgoorlie","N/A","N/A",9587,"- I hope other honorable members will not follow the example of the honorable member for Maranoa. Honorable members on this side of the chamber have consistently followed free trade principles throughout the tariff discussion, and although it may seem rather hard that we should be utilized for the purpose of securing the exemption of certain. articles in which honorable members supporting the Government are interested I would remind the honorable member for Maranoa that we are here to carry out a certain line of policy which we should pursue to the end. If other honorable members choose to be inconsistent that is no reason why we should act similarly. The metal workers who are engaged in the manufacture of these machine tools of trade are to have their tools of trade admitted free of duty, and it will be consistent on our part to extend the same advantage to those employed in other occupations. We have no information before us as to the extent of the industries to which the Treasurer has referred, and it would be more satisfactory if we were told where these machine tools are made, and how many men are engaged in making them. It is desirable, in the interests of the whole community, that boots should be obtainable as good as possible, and therefore we should not place those engaged in their manufacture at any disadvantage.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[5]/talk.start/para","N/A","N/A","N/A","N/A"
38,0,0,0,1,0,0,0,1,"CONROY, Alfred","K4E","Werriwa","N/A","N/A",9588,"- I hope the honorable member for Maranoa will not pursue the course he has indicated. I am sure that his present feeling is due to momentary irritation, which I hope will vanish when he remembers that we are here to act according to free-trade principles, and that we should not be influenced by the inconsistency displayed by others. These articles should certainly be on the free list, and I hope the honorable member for Maranoa will support the amendment.Sir MALCOLMMCEACHARN (Melbourne). - I should like to explain that whilst I submitted the amendment in favour of exempting the machines enumerated, I must, in order to be consistent, accept the assurance of the Government that a number of them are being manufactured locally. I do not interpret that assurance as meaning that one or two men only are employed in the manufacture of such machines, but rather that in this connexion there is an established industry. My desire is to be consistent. Quite recently I withdrew an amendment which I had moved, because I found that two people only were engaged in the industry concerned. In view of the assurance of the Government that, if they discover they have made an error in believing that these articles are manufactured within the States, they will place them upon the free list, I shall vote against the amendment. I recognise that honorable members are frequently placed in a very difficult position. They have to study the interests of their constituents and are bound to accept their statements that specific articles are being locally manufactured. As a result they sometimes make assertions which are incorrect, although they do so in all good faith and after their best efforts have been directed to ascertaining that the information supplied to them is authentic.Sir WILLIAMMCMILLAN (Wentworth). - I am surprised at the attitude of the honorable member for Melbourne. Before he submitted his amendment he should have carefully considered the whole matter, and instituted his own inquiries. If what he says is to be accepted as a principle which should guide the actions of honorable members, then all we want is the assurance of the Ministry that such a thing does or does not exist, and we shall vote accordingly. There is no doubt that that is a very good party spirit to exhibit, but I appeal to the committee whether a word has been uttered by any Minister to show that any real substantial industry exists in Australia in connexion with the manufacture of these particular articles.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[6]/talk.start/para","N/A","N/A","N/A","N/A"
39,0,0,1,0,0,0,0,1,"MCEACHARN, Malcolm","KQU","N/A","N/A","N/A",9588,"- Ministers have said so.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[6]/interjection/talk.start/para","N/A","N/A","N/A","N/A"
40,0,0,0,1,0,0,0,1,"MCMILLAN, William","L2G","N/A","N/A","N/A",9588,"- That is not sufficient for this committee. We expect to have facts stated to us, and proofs submitted in support of those facts. Otherwise deliberation and criticism are unnecessary. Seeing that the desire of the Government is to make tools of trade free when it is clear that the manufacture of those tools is not an established industry in Australia, they ought by greater force of argument, when it is not clear that there is an established industry, to be exempted from duty. Therefore I appeal to the committee to carry the amendment despite the fact that the honorable member for Melbourne has abandoned it.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[6]/continue/talk.start/para","N/A","N/A","N/A","N/A"
41,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","Protectionist","N/A",9588,"- The question of supplying information to honorable members is certainly not a party one so far as the Government are concerned. I believe that the committee generally are satisfied of our intention to act fairly. We go to our officers to secure the fullest information obtainable upon any subject. We have no desire to misrepresent facts. The services of the officers of the whole department are freely at the disposal of honorable members in order to secure the fullest information upon any particular matter.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[7]/talk.start/para","N/A","N/A","N/A","N/A"
42,0,0,1,0,0,0,0,1,"COOK, Joseph","F4S","N/A","FT; ANTI-SOC from 1906; LP from 1910; NAT from 1917","N/A",9589,"- Have those officers special commercial knowledge?","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[7]/interjection/talk.start/para","N/A","N/A","N/A","N/A"
43,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","N/A","N/A",9589,"- They have special knowledge as to where these industries are likely to be found, and the sources from which they can derive information. We are only too delighted to give any information that is sought by honorable members. When we are told that we ought to prove this, that, and the other, I ask how are we to do it, except by such researches as we make? However severe may be the criticism to which we are subjected from certain quarters, I believe that honorable members generally are satisfied we are doing what we can to lay the simple facts before them to enable them to act as their consciences may dictate.Mr. CONROY(Werriwa). - I would point out to the committee that the number of men employed in the bootmaking industry throughout the Commonwealth totals 11,000, whereas the number engaged in the manufacture of the articles enumerated would probably not exceed 25 or 30. Yet the honorable member for Melbourne, after mature consideration, has the temerity to ask the committee to place these articles upon the free list. I was surprised to find that he fully justified everything which the honorable member for Maranoa said of him. He now urges, simply because the Minister has stated that these articles may be manufactured locally - and thus provide employment to 25 or 30 men at the outside - that we should impose a tax upon tools of trade which are used by 11,000 individuals. Even from the point of view of sane protectionists, there surely ought not to be a tax imposed upon 11,000 individuals, in order that 25 or 30 others may be benefited.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[7]/continue/talk.start/para","N/A","N/A","N/A","N/A"
44,0,0,0,1,0,0,0,1,"MAUGER, Samuel","KNJ","Melbourne Ports","N/A","N/A",9589,"- I can assure the committee that these machines are being made locally, and I am in a position to give the names of the firms who manufacture them. I admire the newborn zeal which is exhibited by honorable members opposite on behalf of the manufacturers. All along it has been urged that the latter should pay their share of taxation. Now, however, a different cry is raised, and honorable members who entertain free-trade views ask us to exempt their tools of trade.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[8]/talk.start/para","N/A","N/A","N/A","N/A"
45,0,0,1,0,0,0,0,1,"THOMSON, Dugald","KW6","N/A","N/A","N/A",9589,"- How can they pay their share of duty upon machines which are made locally ?","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[8]/interjection[1]/talk.start/para","N/A","N/A","N/A","N/A"
46,0,0,0,1,0,0,0,1,"MAUGER, Samuel","KNJ","N/A","N/A","N/A",9589,"- If they want to import their machines, by all means let them pay for them. If, however, these tools can be made locally, the manufacturers can evade the payment of duty. I hope the committee will support the proposal of the Government to exempt those machine tools which are being manufactured within the Commonwealth.Mr. JOSEPHCOOK (Parramatta).The honorable member who has just resumed his seat bluffs the point which was raised by the honorable member for North Sydney. What the latter wanted to know was how the manufacturers paid their share of duty on machines which are made locally. We are continually being told that tools of trade can be manufactured in Australia cheaper than they can be imported. But in contradistinction to that almost worn-out theory, the honorable member for Melbourne Ports tells us that this tax is to be imposed upon the manufacturers for the purpose of making them pay their share of duty.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[8]/continue/talk.start/para","N/A","N/A","N/A","N/A"
47,0,0,1,0,0,0,0,1,"MAUGER, Samuel","KNJ","N/A","N/A","N/A",9589,"- I did not say so.","Majority ... ... ...1","TARIFF","/hansard/chamber.xscript/debate[3]/subdebate.1[4]/speech[8]/interjection[2]/talk.start/para","N/A","N/A","N/A","N/A"
